seller-sku	fulfillment-channel-sku	asin	condition-type	Warehouse-Condition-code	Quantity Available
BDR-3004-1+0.50	X0015Z36R3	B0CP6WRL2C	NewItem	SELLABLE	4
FI8019-1	X000T7EFA5	B081N5GN58	NewItem	SELLABLE	0
FI3087-2P	X000OK386T	B07DFX62V6	NewItem	SELLABLE	0
FI5596-2P	X000OK3873	B07DFWN8PC	NewItem	SELLABLE	0
BDR-3003-1+1.25	X0015Z36QJ	B0CP6YN69S	NewItem	SELLABLE	0
BDR-3002-1+0.75	X0015YZJPV	B0CP6X615J	NewItem	SELLABLE	0
FI5125-1	X000LR80NV	B07588K29S	NewItem	SELLABLE	0
BDR-3002-2+1.00	X0015YZJQ5	B0CP6YR2G1	NewItem	SELLABLE	13
BDR-3001-2+1.00	X0015Z36PZ	B0CP6Y2WW6	NewItem	SELLABLE	15
FI3008-2P	X000RL84D7	B07RVJXB92	NewItem	SELLABLE	0
FI3006-53	X000LR7ZDH	B075875Z7R	NewItem	SELLABLE	0
8020-1	X000Y52A2R	B098CXKQMP	NewItem	SELLABLE	0
FI5097-12	X000LR7ZDR	B07588HG82	NewItem	SELLABLE	0
BDR-3003-1+0.75	X0015YZJRJ	B0CP6WZZ87	NewItem	SELLABLE	0
BDR-3003-2+1.25	X0015Z36RX	B0CP6YCB3R	NewItem	SELLABLE	0
FI3006-45	X000LR7ZE1	B07586FWNC	NewItem	SELLABLE	0
BDR-3004-2+1.00	X0015Z36RN	B0CP6XWDJQ	NewItem	SELLABLE	11
8020-2	X000Y52A31	B098CYDBS2	NewItem	SELLABLE	0
BDR-3003-2+0.50	X0015Z36RD	B0CP6WQG92	NewItem	SELLABLE	0
FI5465A-3	X000NDKN33	B0798BFTBC	NewItem	SELLABLE	0
BDR-3004-1+1.25	X0015YZJQZ	B0CP6XPQZQ	NewItem	SELLABLE	0
FI5116-2	X000LR7ZEB	B075373V2B	NewItem	SELLABLE	0
BDR-3004-1+0.75	X0015YZJR9	B0CP6XDXYH	NewItem	SELLABLE	0
FI5048-4	X000NDKN2T	B079868Y4K	NewItem	SELLABLE	0
FI5135-1P	X000OK3CKV	B07DFVG1CD	NewItem	SELLABLE	0
